"subject","time","response","u","true_mu","true_sigma","true_theta","true_zeta"
"1","t1",-1.43553803598289,0.0755669188220054,0,1,NA,NA
"1","t2",-1.11723004474217,0.131947988728151,0,1,0.8,0
"1","t3",-1.26777932734482,0.10243838331879,0,1,0.8,0
"1","t4",-0.635050574197088,0.262697715515568,0,1,0.8,0
"1","t5",0.431846896454998,0.667073653715746,0,1,0.8,0
"2","t1",0.612050221452384,0.729747734731063,0,1,NA,NA
"2","t2",-0.0144980574023145,0.494216314534917,0,1,0.8,0
"2","t3",0.370946807883588,0.644661424656559,0,1,0.8,0
"2","t4",1.40525517934657,0.920027294428034,0,1,0.8,0
"2","t5",2.21717805152303,0.986694536593164,0,1,0.8,0
"3","t1",-0.117666283458011,0.453166041523218,0,1,NA,NA
"3","t2",0.866315926647411,0.806841532694384,0,1,0.8,0
"3","t3",0.344732116006035,0.63485211429243,0,1,0.8,0
"3","t4",-0.330353613316082,0.370566393506562,0,1,0.8,0
"3","t5",0.354297818485615,0.638442148771627,0,1,0.8,0
"4","t1",1.18296402069292,0.881588296499103,0,1,NA,NA
"4","t2",-0.0595370192481468,0.476262190331419,0,1,0.8,0
"4","t3",0.237649703814164,0.593923601698176,0,1,0.8,0
"4","t4",0.0356805066106872,0.514231442937529,0,1,0.8,0
"4","t5",0.143696127788061,0.557129785478645,0,1,0.8,0
"5","t1",-0.425167803958578,0.335357176372781,0,1,NA,NA
"5","t2",-0.790338417766385,0.214665078107169,0,1,0.8,0
"5","t3",-0.405906145141312,0.34240578133094,0,1,0.8,0
"5","t4",-0.075977355826247,0.469718556774067,0,1,0.8,0
"5","t5",0.0925399433242109,0.536865471413827,0,1,0.8,0
"6","t1",-1.30114042385716,0.096605196595192,0,1,NA,NA
"6","t2",-1.39238535824083,0.0819028679217298,0,1,0.8,0
"6","t3",-0.654271608200979,0.256468417117804,0,1,0.8,0
"6","t4",-0.234982762952037,0.407111055928936,0,1,0.8,0
"6","t5",0.397594015150722,0.654535263585258,0,1,0.8,0
"7","t1",-1.6481771420305,0.049658162984997,0,1,NA,NA
"7","t2",-1.57664887452377,0.0574381701213173,0,1,0.8,0
"7","t3",-1.32468230544882,0.0926382721979308,0,1,0.8,0
"7","t4",-1.00109711919764,0.158389928830808,0,1,0.8,0
"7","t5",-0.369001236251258,0.3560634016532,0,1,0.8,0
"8","t1",-1.80647512220971,0.0354220783337951,0,1,NA,NA
"8","t2",-0.613650495719873,0.269723153903764,0,1,0.8,0
"8","t3",-0.279729056107419,0.389842692167552,0,1,0.8,0
"8","t4",-0.380301165321842,0.351860935295886,0,1,0.8,0
"8","t5",0.997245972272027,0.840677434351127,0,1,0.8,0
"9","t1",1.29534946812134,0.902400149265304,0,1,NA,NA
"9","t2",0.98009000207884,0.836479153059903,0,1,0.8,0
"9","t3",0.691545087915034,0.755388471806559,0,1,0.8,0
"9","t4",-0.109676329575652,0.456333036704685,0,1,0.8,0
"9","t5",-0.0276312193489446,0.488978140863206,0,1,0.8,0
"10","t1",1.01370005850687,0.8446370519232,0,1,NA,NA
"10","t2",1.15137725331436,0.875211466190857,0,1,0.8,0
"10","t3",1.64134018200103,0.94963659027207,0,1,0.8,0
"10","t4",1.5508411165875,0.939530117775465,0,1,0.8,0
"10","t5",1.37356161247283,0.915211089380182,0,1,0.8,0
"11","t1",2.44699050603171,0.992797268321738,0,1,NA,NA
"11","t2",2.41099304257528,0.992045424038551,0,1,0.8,0
"11","t3",1.64068423643182,0.949568510592779,0,1,0.8,0
"11","t4",1.48867485611331,0.931713495394699,0,1,0.8,0
"11","t5",1.11366033368524,0.867287533808145,0,1,0.8,0
"12","t1",-1.52671774281088,0.0634156067389995,0,1,NA,NA
"12","t2",-0.823455865396598,0.205124402655087,0,1,0.8,0
"12","t3",-0.807316711925127,0.209742019058365,0,1,0.8,0
"12","t4",-0.114969348541312,0.454234708614448,0,1,0.8,0
"12","t5",0.0299347076807364,0.511940437240795,0,1,0.8,0
